id,name,distance,mass,radius
356,WISE 1639-6847,16.3,,
357,WISE 1647+5632,28,,
358,WISE 1653+4444,39.5,,
359,WISE 1711+3500,60.3,,
360,WISE 1717+6129,72.7,,
361,WISE 1721+1117,62.3,,
362,WISE 1728+5716,97.8,,
363,WISE 1738+2732,20,,
364,WISE 1741+2553,18.9,,
365,WISE 1746-0338,83.8,,
366,WISE 1800+0134,28.7,0.054411516,
367,WISE 1804+3117,30,,
368,WISE 1809+3838,74.4,,
369,WISE 1812+2721,47,,
370,WISE 1828+2650,36,,
371,WISE 1830+4542,107,,
372,WISE 1841+7000,131.1,,
373,WISE 1852+3537,55.4,,
374,WISE 1906+4508,51.5,,
375,WISE 1928+2356,22.8,,
376,WISE 1952+7240,44.4,,
377,WISE 1959-3338,37.2,,
378,WISE 2030+0749,34.2,,
379,WISE 2014+0424,96.2,,
380,WISE 2015+6646,50.6,,
381,WISE 2018-7423,47.9,,
382,WISE 2019-1148,42.4,,
383,WISE 2056+1459,24.5,,
384,WISE 2134-7137,42.7,,
385,WISE 2157+2659,61.6,,
386,WISE 2209-2734,46,,
387,WISE 2213+0911,58.7,,
388,WISE 2220-3628,26.4,,
389,WISE 2226+0440,45,,
390,WISE 2237-0614,53.5,,
391,WISE 2237+7228,46,,
392,WISE 2239+1617,59.7,,
393,WISE 2255-3118,44.7,,
394,WISE 2301+0216,60.7,,
395,WISE 2313-8037,35.9,,
396,WISE 2319-1844,52.2,,
397,WISE 2325-4105,37.5,,
398,WISE 2327-2730,70.8,,
399,WISE 2335+4222,90.3,,
400,WISE 2340-0745,37.8,,
401,WISE 2342+0856,51.2,,
402,WISE 2343-7418,48.6,,
403,WISE 2344+1034,46,,
404,WISE 2348-1028,54.1,,
405,WISE 2357+1227,54.8,,
406,WISE 2359-7335,42.7,,
407,WISEA 1101+5400,111,,
408,2M1510,120,,
409,,,,
